_id,actor_id,last_update,product,quantity
61d4dce70f6f8823f6b7fdc9,1,1,1001,100
61d4dce70f6f8823f6b7fdca,1,1,2001,100
61d4dce70f6f8823f6b7fdcb,0,1,0,0
61d4dce70f6f8823f6b7fdcc,2,1,2001,100
61d4dce70f6f8823f6b7fdcd,0,1,0,0
61d4dce70f6f8823f6b7fdce,3,1,3001,100
61d4dce70f6f8823f6b7fdcf,0,1,0,0
61d4dce70f6f8823f6b7fdd0,4,1,4001,100
61d4dce70f6f8823f6b7fdd1,0,1,0,0
61d4dce70f6f8823f6b7fdd2,5,1,5001,99999
61d4dce70f6f8823f6b7fdd3,0,1,0,0
61d4dce70f6f8823f6b7fdd4,0,1,0,0
61d4dce70f6f8823f6b7fdd5,1,1,1001,91
61d4dce70f6f8823f6b7fdd6,0,2,1001,9
61d4dce70f6f8823f6b7fdd7,1,2,1001,84
61d4dce70f6f8823f6b7fdd8,0,3,1001,7
61d4dce70f6f8823f6b7fdd9,1,3,1001,80
61d4dce70f6f8823f6b7fdda,0,4,1001,4
61d4dce70f6f8823f6b7fddb,1,4,1001,72
61d4dce70f6f8823f6b7fddc,0,5,1001,8
61d4dce70f6f8823f6b7fddd,1,5,1001,67
61d4dce80f6f8823f6b7fdde,0,6,1001,5
61d4dce80f6f8823f6b7fddf,1,6,1001,66
61d4dce80f6f8823f6b7fde0,0,7,1001,1
61d4dce80f6f8823f6b7fde1,1,7,1001,64
61d4dce80f6f8823f6b7fde2,0,8,1001,2
61d4dce80f6f8823f6b7fde3,1,8,1001,58
61d4dce80f6f8823f6b7fde4,0,9,1001,6
61d4dce80f6f8823f6b7fde5,1,9,1001,48
61d4dce80f6f8823f6b7fde6,0,10,1001,10
61d4dce80f6f8823f6b7fde7,1,10,1001,44
61d4dce80f6f8823f6b7fde8,0,11,1001,4
61d4dce80f6f8823f6b7fde9,1,11,1001,40
61d4dce80f6f8823f6b7fdea,0,12,1001,4
61d4dce80f6f8823f6b7fdeb,1,12,1001,39
61d4dce80f6f8823f6b7fdec,0,13,1001,1
61d4dce80f6f8823f6b7fded,1,13,1001,34
61d4dce80f6f8823f6b7fdee,0,14,1001,5
61d4dce80f6f8823f6b7fdef,1,14,1001,29
61d4dce80f6f8823f6b7fdf0,0,15,1001,5
61d4dce80f6f8823f6b7fdf1,1,15,1001,24
61d4dce80f6f8823f6b7fdf2,0,16,1001,5
61d4dce80f6f8823f6b7fdf3,1,16,1001,14
61d4dce80f6f8823f6b7fdf4,0,17,1001,10
61d4dce80f6f8823f6b7fdf5,1,17,1001,10
61d4dce80f6f8823f6b7fdf6,0,18,1001,4
