;day;id;in_stock
271;46;3001;6916
272;46;4001;10568
273;46;5001;612774
274;46;5001;5508717103
275;46;1001;10377
276;47;2001;10377
277;47;3001;6916
278;47;4001;10568
279;47;5001;612774
280;47;5001;5162944713
281;47;1001;10377
282;48;2001;10377
283;48;3001;6916
284;48;4001;10568
285;48;5001;612774
286;48;5001;4807619179
287;48;1001;10377
288;49;2001;10377
289;49;3001;6916
290;49;4001;10568
291;49;5001;612774
292;49;5001;4442988197
293;49;1001;10377
294;50;2001;10377
295;50;3001;6916
296;50;4001;10568
297;50;5001;612774
298;50;5001;4069288421
299;50;1001;10377
300;51;2001;10377
301;51;3001;6916
302;51;4001;10568
303;51;5001;612774
304;51;5001;3686747033
305;51;1001;10377
306;52;2001;10377
307;52;3001;6916
308;52;4001;10568
309;52;5001;612774
310;52;5001;3295582015
311;52;1001;10377
312;53;2001;10377
313;53;3001;6916
314;53;4001;10568
315;53;5001;612774
316;53;5001;2896002879
317;53;1001;10377
318;54;2001;10377
319;54;3001;6916
320;54;4001;10568
321;54;5001;612774
322;54;5001;2488210783
323;54;1001;10377
324;55;2001;10377
325;55;3001;6916
326;55;4001;10568
327;55;5001;612774
328;55;5001;2072399191
329;55;1001;10377
330;56;2001;10377
331;56;3001;6916
332;56;4001;10568
333;56;5001;612774
334;56;5001;1648754175
335;56;1001;10377
336;57;2001;10377
337;57;3001;6916
338;57;4001;10568
339;57;5001;612774
340;57;5001;1217454977
341;57;1001;10377
342;58;2001;10377
343;58;3001;6916
344;58;4001;10568
345;58;5001;612774
346;58;5001;778674589
347;58;1001;10377
348;59;2001;10377
349;59;3001;6916
350;59;4001;10568
351;59;5001;612774
352;59;5001;332579407
353;59;1001;10377
354;60;2001;10377
355;60;3001;6916
356;60;4001;10568
357;60;5001;612774
358;60;5001;105954726
359;60;1001;10377
360;61;2001;10377
361;61;3001;6916
362;61;4001;10568
363;61;5001;612774
364;61;5001;105954726
365;61;1001;10377
366;62;2001;10377
367;62;3001;6916
368;62;4001;10568
369;62;5001;612774
370;62;5001;105954726
371;62;1001;10377
372;63;2001;10377
373;63;3001;6916
374;63;4001;10568
375;63;5001;612774
376;63;5001;105954726
377;63;1001;10377
378;64;2001;10377
379;64;3001;6916
380;64;4001;10568
381;64;5001;612774
382;64;5001;105954726
383;64;1001;10377
384;65;2001;10377
385;65;3001;6916
386;65;4001;10568
387;65;5001;612774
388;65;5001;105954726
389;65;1001;10377
390;66;2001;10377
391;66;3001;6916
392;66;4001;10568
393;66;5001;612774
394;66;5001;105954726
395;66;1001;10377
396;67;2001;10377
397;67;3001;6916
398;67;4001;10568
399;67;5001;612774
400;67;5001;105954726
401;67;1001;10377
402;68;2001;10377
403;68;3001;6916
404;68;4001;10568
405;68;5001;612774
406;68;5001;105954726
407;68;1001;10377
408;69;2001;10377
409;69;3001;6916
410;69;4001;10568
411;69;5001;612774
412;69;5001;105954726
413;69;1001;10377
414;70;2001;10377
415;70;3001;6916
416;70;4001;10568
417;70;5001;612774
418;70;5001;105954726
419;70;1001;10377
420;71;2001;10377
421;71;3001;6916
422;71;4001;10568
423;71;5001;612774
424;71;5001;105954726
425;71;1001;10377
426;72;2001;10377
427;72;3001;6916
428;72;4001;10568
429;72;5001;612774
430;72;5001;105954726
431;72;1001;10377
432;73;2001;10377
433;73;3001;6916
434;73;4001;10568
435;73;5001;612774
436;73;5001;105954726
437;73;1001;10377
438;74;2001;10377
439;74;3001;6916
440;74;4001;10568
441;74;5001;612774
442;74;5001;105954726
443;74;1001;10377
444;75;2001;10377
445;75;3001;6916
446;75;4001;10568
447;75;5001;612774
448;75;5001;105954726
449;75;1001;10377
450;76;2001;10377
451;76;3001;6916
452;76;4001;10568
453;76;5001;612774
454;76;5001;105954726
455;76;1001;10377
456;77;2001;10377
457;77;3001;6916
458;77;4001;10568
459;77;5001;612774
460;77;5001;105954726
461;77;1001;10377
462;78;2001;10377
463;78;3001;6916
464;78;4001;10568
465;78;5001;612774
466;78;5001;105954726
467;78;1001;10377
468;79;2001;10377
469;79;3001;6916
470;79;4001;10568
471;79;5001;612774
472;79;5001;105954726
473;79;1001;10377
474;80;2001;10377
475;80;3001;6916
476;80;4001;10568
477;80;5001;612774
478;80;5001;105954726
479;80;1001;10377
480;81;2001;10377
481;81;3001;6916
482;81;4001;10568
483;81;5001;612774
484;81;5001;105954726
485;81;1001;10377
486;82;2001;10377
487;82;3001;6916
488;82;4001;10568
489;82;5001;612774
490;82;5001;105954726
491;82;1001;10377
492;83;2001;10377
493;83;3001;6916
494;83;4001;10568
495;83;5001;612774
496;83;5001;105954726
497;83;1001;10377
498;84;2001;10377
499;84;3001;6916
500;84;4001;10568
501;84;5001;612774
502;84;5001;105954726
503;84;1001;10377
504;85;2001;10377
505;85;3001;6916
506;85;4001;10568
507;85;5001;612774
508;85;5001;105954726
509;85;1001;10377
510;86;2001;10377
511;86;3001;6916
512;86;4001;10568
513;86;5001;612774
514;86;5001;105954726
515;86;1001;10377
516;87;2001;10377
517;87;3001;6916
518;87;4001;10568
519;87;5001;612774
520;87;5001;105954726
521;87;1001;10377
522;88;2001;10377
523;88;3001;6916
524;88;4001;10568
525;88;5001;612774
526;88;5001;105954726
527;88;1001;10377
528;89;2001;10377
529;89;3001;6916
530;89;4001;10568
531;89;5001;612774
532;89;5001;105954726
533;89;1001;10377
534;90;2001;10377
535;90;3001;6916
536;90;4001;10568
537;90;5001;612774
538;90;5001;105954726
539;90;1001;10377
540;91;2001;10377
541;91;3001;6916
542;91;4001;10568
543;91;5001;612774
544;91;5001;105954726
545;91;1001;10377
546;92;2001;10377
547;92;3001;6916
548;92;4001;10568
549;92;5001;612774
550;92;5001;105954726
551;92;1001;10377
552;93;2001;10377
553;93;3001;6916
554;93;4001;10568
555;93;5001;612774
556;93;5001;105954726
557;93;1001;10377
558;94;2001;10377
559;94;3001;6916
560;94;4001;10568
561;94;5001;612774
562;94;5001;105954726
563;94;1001;10377
564;95;2001;10377
565;95;3001;6916
566;95;4001;10568
567;95;5001;612774
568;95;5001;105954726
569;95;1001;10377
570;96;2001;10377
571;96;3001;6916
572;96;4001;10568
573;96;5001;612774
574;96;5001;105954726
575;96;1001;10377
576;97;2001;10377
577;97;3001;6916
578;97;4001;10568
579;97;5001;612774
580;97;5001;105954726
581;97;1001;10377
582;98;2001;10377
583;98;3001;6916
584;98;4001;10568
585;98;5001;612774
586;98;5001;105954726
587;98;1001;10377
588;99;2001;10377
589;99;3001;6916
590;99;4001;10568
591;99;5001;612774
592;99;5001;105954726
593;99;1001;10377
594;100;2001;10377
595;100;3001;6916
596;100;4001;10568
597;100;5001;612774
598;100;5001;105954726
599;100;1001;10377
600;101;2001;10377
601;101;3001;6916
602;101;4001;10568
603;101;5001;612774
604;101;5001;105954726
605;101;1001;10377
606;102;2001;10377
607;102;3001;6916
608;102;4001;10568
609;102;5001;612774
610;102;5001;105954726
611;102;1001;10377
612;103;2001;10377
613;103;3001;6916
614;103;4001;10568
615;103;5001;612774
616;103;5001;105954726
617;103;1001;10377
618;104;2001;10377
619;104;3001;6916
620;104;4001;10568
621;104;5001;612774
622;104;5001;105954726
623;104;1001;10377
624;105;2001;10377
625;105;3001;6916
626;105;4001;10568
627;105;5001;612774
628;105;5001;105954726
629;105;1001;10377
630;106;2001;10377
631;106;3001;6916
632;106;4001;10568
633;106;5001;612774
634;106;5001;105954726
635;106;1001;10377
636;107;2001;10377
637;107;3001;6916
638;107;4001;10568
639;107;5001;612774
640;107;5001;105954726
641;107;1001;10377
642;108;2001;10377
643;108;3001;6916
644;108;4001;10568
645;108;5001;612774
646;108;5001;105954726
647;108;1001;10377
648;109;2001;10377
649;109;3001;6916
650;109;4001;10568
651;109;5001;612774
652;109;5001;105954726
653;109;1001;10377
654;110;2001;10377
655;110;3001;6916
656;110;4001;10568
657;110;5001;612774
658;110;5001;105954726
659;110;1001;10377
660;111;2001;10377
661;111;3001;6916
662;111;4001;10568
663;111;5001;612774
664;111;5001;105954726
665;111;1001;10377
666;112;2001;10377
667;112;3001;6916
668;112;4001;10568
669;112;5001;612774
670;112;5001;105954726
671;112;1001;10377
672;113;2001;10377
673;113;3001;6916
674;113;4001;10568
675;113;5001;612774
676;113;5001;105954726
677;113;1001;10377
678;114;2001;10377
679;114;3001;6916
680;114;4001;10568
681;114;5001;612774
682;114;5001;105954726
683;114;1001;10377
684;115;2001;10377
685;115;3001;6916
686;115;4001;10568
687;115;5001;612774
688;115;5001;105954726
689;115;1001;10377
690;116;2001;10377
691;116;3001;6916
692;116;4001;10568
693;116;5001;612774
694;116;5001;105954726
695;116;1001;10377
696;117;2001;10377
697;117;3001;6916
698;117;4001;10568
699;117;5001;612774
700;117;5001;105954726
701;117;1001;10377
702;118;2001;0
703;118;3001;6916
704;118;4001;10568
705;118;5001;612774
706;118;5001;105954726
707;118;1001;10377
708;119;2001;0
709;119;3001;6916
710;119;4001;10568
711;119;5001;612774
712;119;5001;105954726
713;119;1001;10377
714;120;2001;0
715;120;3001;6916
716;120;4001;10568
717;120;5001;612774
718;120;5001;105954726
719;120;1001;10377
720;121;2001;0
721;121;3001;6916
722;121;4001;10568
723;121;5001;612774
724;121;5001;105954726
725;121;1001;10377
726;122;2001;0
727;122;3001;6916
728;122;4001;10568
729;122;5001;612774
730;122;5001;105954726
731;122;1001;10377
732;123;2001;0
733;123;3001;6916
734;123;4001;10568
735;123;5001;612774
736;123;5001;105954726
737;123;1001;10377
738;124;2001;0
739;124;3001;6916
740;124;4001;10568
741;124;5001;612774
742;124;5001;105954726
743;124;1001;10377
744;125;2001;0
745;125;3001;6916
746;125;4001;10568
747;125;5001;612774
748;125;5001;105954726
749;125;1001;10377
750;126;2001;0
