;day;id;in_stock
310;52;5001;9993549257
311;52;1001;10833
312;53;2001;10833
313;53;3001;10833
314;53;4001;10833
315;53;5001;949254
316;53;5001;9993415707
317;53;1001;10833
318;54;2001;10833
319;54;3001;10833
320;54;4001;10833
321;54;5001;949254
322;54;5001;9993282157
323;54;1001;10833
324;55;2001;10833
325;55;3001;10833
326;55;4001;10833
327;55;5001;949254
328;55;5001;9993148607
329;55;1001;10833
330;56;2001;10833
331;56;3001;10833
332;56;4001;10833
333;56;5001;949254
334;56;5001;9993015057
335;56;1001;10833
336;57;2001;10833
337;57;3001;10833
338;57;4001;10833
339;57;5001;949254
340;57;5001;9992881507
341;57;1001;10833
342;58;2001;10833
343;58;3001;10833
344;58;4001;10833
345;58;5001;949254
346;58;5001;9992747957
347;58;1001;10833
348;59;2001;10833
349;59;3001;10833
350;59;4001;10833
351;59;5001;949254
352;59;5001;9992614407
353;59;1001;10833
354;60;2001;10833
355;60;3001;10833
356;60;4001;10833
357;60;5001;949254
358;60;5001;9992480857
359;60;1001;10833
360;61;2001;10833
361;61;3001;10833
362;61;4001;10833
363;61;5001;949254
364;61;5001;9992340277
365;61;1001;10833
366;62;2001;10833
367;62;3001;10833
368;62;4001;10833
369;62;5001;949254
370;62;5001;9992199697
371;62;1001;10833
372;63;2001;10833
373;63;3001;10833
374;63;4001;10833
375;63;5001;949254
376;63;5001;9992059117
377;63;1001;10833
378;64;2001;10833
379;64;3001;10833
380;64;4001;10833
381;64;5001;949254
382;64;5001;9991918537
383;64;1001;10833
384;65;2001;10833
385;65;3001;10833
386;65;4001;10833
387;65;5001;949254
388;65;5001;9991777957
389;65;1001;10833
390;66;2001;10833
391;66;3001;10833
392;66;4001;10833
393;66;5001;949254
394;66;5001;9991637377
395;66;1001;10833
396;67;2001;10833
397;67;3001;10833
398;67;4001;10833
399;67;5001;949254
400;67;5001;9991496797
401;67;1001;10833
402;68;2001;10833
403;68;3001;10833
404;68;4001;10833
405;68;5001;949254
406;68;5001;9991356217
407;68;1001;10833
408;69;2001;10833
409;69;3001;10833
410;69;4001;10833
411;69;5001;949254
412;69;5001;9991215637
413;69;1001;10833
414;70;2001;10833
415;70;3001;10833
416;70;4001;10833
417;70;5001;949254
418;70;5001;9991075057
419;70;1001;10833
420;71;2001;10833
421;71;3001;10833
422;71;4001;10833
423;71;5001;949254
424;71;5001;9990945937
425;71;1001;10833
426;72;2001;10833
427;72;3001;10833
428;72;4001;10833
429;72;5001;949254
430;72;5001;9990816817
431;72;1001;10833
432;73;2001;10833
433;73;3001;10833
434;73;4001;10833
435;73;5001;949254
436;73;5001;9990687697
437;73;1001;10833
438;74;2001;10833
439;74;3001;10833
440;74;4001;10833
441;74;5001;949254
442;74;5001;9990558577
443;74;1001;10833
444;75;2001;10833
445;75;3001;10833
446;75;4001;10833
447;75;5001;949254
448;75;5001;9990429457
449;75;1001;10833
450;76;2001;10833
451;76;3001;10833
452;76;4001;10833
453;76;5001;949254
454;76;5001;9990300337
455;76;1001;10833
456;77;2001;10833
457;77;3001;10833
458;77;4001;10833
459;77;5001;949254
460;77;5001;9990171217
461;77;1001;10833
462;78;2001;10833
463;78;3001;10833
464;78;4001;10833
465;78;5001;949254
466;78;5001;9990042097
467;78;1001;10833
468;79;2001;10833
469;79;3001;10833
470;79;4001;10833
471;79;5001;949254
472;79;5001;9989912977
473;79;1001;10833
474;80;2001;10833
475;80;3001;10833
476;80;4001;10833
477;80;5001;949254
478;80;5001;9989783857
479;80;1001;10833
480;81;2001;10833
481;81;3001;10833
482;81;4001;10833
483;81;5001;949254
484;81;5001;9989639967
485;81;1001;10833
486;82;2001;10833
487;82;3001;10833
488;82;4001;10833
489;82;5001;949254
490;82;5001;9989496077
491;82;1001;10833
492;83;2001;10833
493;83;3001;10833
494;83;4001;10833
495;83;5001;949254
496;83;5001;9989352187
497;83;1001;10833
498;84;2001;10833
499;84;3001;10833
500;84;4001;10833
501;84;5001;949254
502;84;5001;9989208297
503;84;1001;10833
504;85;2001;10833
505;85;3001;10833
506;85;4001;10833
507;85;5001;949254
508;85;5001;9989064407
509;85;1001;10833
510;86;2001;10833
511;86;3001;10833
512;86;4001;10833
513;86;5001;949254
514;86;5001;9988920517
515;86;1001;10833
516;87;2001;10833
517;87;3001;10833
518;87;4001;10833
519;87;5001;949254
520;87;5001;9988776627
521;87;1001;10833
522;88;2001;10833
523;88;3001;10833
524;88;4001;10833
525;88;5001;949254
526;88;5001;9988632737
527;88;1001;10833
528;89;2001;10833
529;89;3001;10833
530;89;4001;10833
531;89;5001;949254
532;89;5001;9988488847
533;89;1001;10833
534;90;2001;10833
535;90;3001;10833
536;90;4001;10833
537;90;5001;949254
538;90;5001;9988344957
539;90;1001;10833
540;91;2001;10833
541;91;3001;10833
542;91;4001;10833
543;91;5001;949254
544;91;5001;9988208437
545;91;1001;10833
546;92;2001;10833
547;92;3001;10833
548;92;4001;10833
549;92;5001;949254
550;92;5001;9988071917
551;92;1001;10833
552;93;2001;10833
553;93;3001;10833
554;93;4001;10833
555;93;5001;949254
556;93;5001;9987935397
557;93;1001;10833
558;94;2001;10833
559;94;3001;10833
560;94;4001;10833
561;94;5001;949254
562;94;5001;9987798877
563;94;1001;10833
564;95;2001;10833
565;95;3001;10833
566;95;4001;10833
567;95;5001;949254
568;95;5001;9987662357
569;95;1001;10833
570;96;2001;10833
571;96;3001;10833
572;96;4001;10833
573;96;5001;949254
574;96;5001;9987525837
575;96;1001;10833
576;97;2001;10833
577;97;3001;10833
578;97;4001;10833
579;97;5001;949254
580;97;5001;9987389317
581;97;1001;10833
582;98;2001;10833
583;98;3001;10833
584;98;4001;10833
585;98;5001;949254
586;98;5001;9987252797
587;98;1001;10833
588;99;2001;10833
589;99;3001;10833
590;99;4001;10833
591;99;5001;949254
592;99;5001;9987116277
593;99;1001;10833
594;100;2001;10833
595;100;3001;10833
596;100;4001;10833
597;100;5001;949254
598;100;5001;9986979757
599;100;1001;10833
600;101;2001;10833
601;101;3001;10833
602;101;4001;10833
603;101;5001;949254
604;101;5001;9986818177
605;101;1001;10833
606;102;2001;10833
607;102;3001;10833
608;102;4001;10833
609;102;5001;949254
610;102;5001;9986656597
611;102;1001;10833
612;103;2001;10833
613;103;3001;10833
614;103;4001;10833
615;103;5001;949254
616;103;5001;9986495017
617;103;1001;10833
618;104;2001;10833
619;104;3001;10833
620;104;4001;10833
621;104;5001;949254
622;104;5001;9986333437
623;104;1001;10833
624;105;2001;10833
625;105;3001;10833
626;105;4001;10833
627;105;5001;949254
628;105;5001;9986171857
629;105;1001;10833
630;106;2001;10833
631;106;3001;10833
632;106;4001;10833
633;106;5001;949254
634;106;5001;9986010277
635;106;1001;10833
636;107;2001;10833
637;107;3001;10833
638;107;4001;10833
639;107;5001;949254
640;107;5001;9985848697
641;107;1001;10833
642;108;2001;10833
643;108;3001;10833
644;108;4001;10833
645;108;5001;949254
646;108;5001;9985687117
647;108;1001;10833
648;109;2001;10833
649;109;3001;10833
650;109;4001;10833
651;109;5001;949254
652;109;5001;9985525537
653;109;1001;10833
654;110;2001;10833
655;110;3001;10833
656;110;4001;10833
657;110;5001;949254
658;110;5001;9985363957
659;110;1001;10833
660;111;2001;10833
661;111;3001;10833
662;111;4001;10833
663;111;5001;949254
