_id,stats
actor_1,[2]
actor_2,[3]
actor_3,[4]
actor_4,"[20, 21, 10, 7, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42]"
actor_5,[]
actor_0,[1]
