Criation_Time, Product, Quantity, Client, Order_id, Status, Notes-fornecedor
1,1001,11763,0,1000001,0,1
1,2001,11763,1,2000001,0,2
1,3001,11763,2,3000001,0,3
1,4001,11763,3,4000001,0,4
1,5001,11763,4,5000001,0,5
2,1001,11783,0,1000002,0,1
2,2001,11796,1,2000002,0,2
2,3001,11819,2,3000002,0,3
2,4001,11856,3,4000002,0,4
2,5001,11919,4,5000002,0,5
3,1001,11771,0,1000003,0,1
3,2001,11793,1,2000003,0,2
3,3001,11818,2,3000003,0,3
3,4001,11862,3,4000003,0,4
3,5001,11934,4,5000003,0,5
4,1001,11833,0,1000004,0,1
4,2001,11853,1,2000004,0,2
4,3001,11878,2,3000004,0,3
4,4001,11915,3,4000004,0,4
4,5001,11977,4,5000004,0,5
5,1001,11813,0,1000005,0,1
5,2001,11855,1,2000005,0,2
5,3001,11898,2,3000005,0,3
5,4001,11950,3,4000005,0,4
5,5001,12019,4,5000005,0,5
6,1001,11853,0,1000006,0,1
6,2001,59186,1,2000006,0,2
6,3001,190528,2,3000006,0,3
6,4001,555052,3,4000006,0,4
6,5001,1566683,4,5000006,0,5
7,1001,11906,0,1000007,0,1
7,2001,59340,1,2000007,0,2
7,3001,238537,2,3000007,0,3
7,4001,830485,3,4000007,0,4
7,5001,2679916,4,5000007,0,5
8,1001,11933,0,1000008,0,1
8,2001,59467,1,2000008,0,2
8,3001,268022,2,3000008,0,3
8,4001,1038157,3,4000008,0,4
8,5001,3656635,4,5000008,0,5
9,1001,11850,0,1000009,0,1
9,2001,59461,1,2000009,0,2
9,3001,287837,2,3000009,0,3
9,4001,1200085,3,4000009,0,4
9,5001,4507865,4,5000009,0,5
10,1001,11769,0,1000010,0,1
10,2001,59436,1,2000010,0,2
10,3001,301890,2,3000010,0,3
10,4001,1329037,3,4000010,0,4
10,5001,5248482,4,5000010,0,5
11,1001,11847,0,1000011,0,1
11,2001,59431,1,2000011,0,2
11,3001,312235,2,3000011,0,3
11,4001,1433488,3,4000011,0,4
11,5001,5894101,4,5000011,0,5
12,1001,11814,0,1000012,0,1
12,2001,59410,1,2000012,0,2
12,3001,320041,2,3000012,0,3
12,4001,1519247,3,4000012,0,4
12,5001,6458878,4,5000012,0,5
13,1001,11789,0,1000013,0,1
13,2001,59390,1,2000013,0,2
13,3001,326056,2,3000013,0,3
13,4001,1590489,3,4000013,0,4
13,5001,6955015,4,5000013,0,5
14,1001,11806,0,1000014,0,1
14,2001,59380,1,2000014,0,2
14,3001,330763,2,3000014,0,3
14,4001,1650269,3,4000014,0,4
14,5001,7392780,4,5000014,0,5
15,1001,11915,0,1000015,0,1
15,2001,59426,1,2000015,0,2
15,3001,334526,2,3000015,0,3
15,4001,1700888,3,4000015,0,4
15,5001,7780740,4,5000015,0,5
16,1001,11940,0,1000016,0,1
16,2001,59487,1,2000016,0,2
16,3001,337578,2,3000016,0,3
16,4001,1744091,3,4000016,0,4
16,5001,8126001,4,5000016,0,5
17,1001,11987,0,1000017,0,1
17,2001,59579,1,2000017,0,2
17,3001,340085,2,3000017,0,3
17,4001,1781232,3,4000017,0,4
17,5001,8434510,4,5000017,0,5
18,1001,11861,0,1000018,0,1
18,2001,59573,1,2000018,0,2
18,3001,342129,2,3000018,0,3
18,4001,1813348,3,4000018,0,4
18,5001,8711208,4,5000018,0,5
19,1001,11813,0,1000019,0,1
19,2001,59558,1,2000019,0,2
19,3001,343789,2,3000019,0,3
19,4001,1841242,3,4000019,0,4
19,5001,8960232,4,5000019,0,5
20,1001,11842,0,1000020,0,1
20,2001,59548,1,2000020,0,2
20,3001,345147,2,3000020,0,3
20,4001,1865578,3,4000020,0,4
20,5001,9185068,4,5000020,0,5
21,1001,11824,0,1000021,0,1
21,2001,59537,1,2000021,0,2
21,3001,346261,2,3000021,0,3
21,4001,1886899,3,4000021,0,4
21,5001,9388660,4,5000021,0,5
22,1001,11785,0,1000022,0,1
22,2001,59517,1,2000022,0,2
22,3001,347158,2,3000022,0,3
22,4001,1905625,3,4000022,0,4
22,5001,9573513,4,5000022,0,5
23,1001,11773,0,1000023,0,1
23,2001,59507,1,2000023,0,2
23,3001,347892,2,3000023,0,3
23,4001,1922132,3,4000023,0,4
23,5001,9741777,4,5000023,0,5
24,1001,11849,0,1000024,0,1
24,2001,59507,1,2000024,0,2
24,3001,348489,2,3000024,0,3
24,4001,1936711,3,4000024,0,4
24,5001,9895303,4,5000024,0,5
25,1001,11854,0,1000025,0,1
25,2001,59497,1,2000025,0,2
25,3001,348968,2,3000025,0,3
25,4001,1949616,3,4000025,0,4
25,5001,10035667,4,5000025,0,5
26,1001,11876,0,1000026,0,1
26,2001,59507,1,2000026,0,2
26,3001,349354,2,3000026,0,3
26,4001,1961070,3,4000026,0,4
26,5001,10164268,4,5000026,0,5
27,1001,11892,0,1000027,0,1
27,2001,59517,1,2000027,0,2
27,3001,349658,2,3000027,0,3
27,4001,1971237,3,4000027,0,4
27,5001,10282303,4,5000027,0,5
28,1001,11869,0,1000028,0,1
28,2001,59516,1,2000028,0,2
28,3001,349893,2,3000028,0,3
28,4001,1980291,3,4000028,0,4
28,5001,10390823,4,5000028,0,5
29,1001,11797,0,1000029,0,1
29,2001,59501,1,2000029,0,2
29,3001,350066,2,3000029,0,3
29,4001,1988340,3,4000029,0,4
29,5001,10490757,4,5000029,0,5
30,1001,11833,0,1000030,0,1
30,2001,59496,1,2000030,0,2
30,3001,350180,2,3000030,0,3
30,4001,1995518,3,4000030,0,4
30,5001,10582916,4,5000030,0,5
31,1001,11787,0,1000031,0,1
31,2001,59486,1,2000031,0,2
31,3001,350256,2,3000031,0,3
31,4001,2001913,3,4000031,0,4
