_id,actor_id,product,quantity,last_update
6319213ebdd32a2b9c5bd1b4,1,1001,13648,1
6319213ebdd32a2b9c5bd1b5,2,2001,13648,1
6319213ebdd32a2b9c5bd1b6,3,3001,13648,1
6319213ebdd32a2b9c5bd1b7,4,4001,13648,1
6319213ebdd32a2b9c5bd1b8,5,5001,9999999999,1
6319213fbdd32a2b9c5bd1b9,0,0,0,1
6319213fbdd32a2b9c5bd1bb,1,1001,2815,1
6319213fbdd32a2b9c5bd1c5,2,2001,2815,2
6319213fbdd32a2b9c5bd1c9,3,3001,2815,2
6319213fbdd32a2b9c5bd1cd,4,4001,2815,2
6319213fbdd32a2b9c5bd1d1,5,5001,9999989166,2
6319213fbdd32a2b9c5bd1d4,5,5001,9999978333,2
6319213fbdd32a2b9c5bd1d6,5,5001,9999967500,2
6319213fbdd32a2b9c5bd1d9,5,5001,9999956667,2
6319213fbdd32a2b9c5bd1e5,5,5001,9999945834,3
6319213fbdd32a2b9c5bd1e8,5,5001,9999935001,3
6319213fbdd32a2b9c5bd1ea,5,5001,9999891669,3
6319213fbdd32a2b9c5bd1ed,5,5001,9999848337,3
6319213fbdd32a2b9c5bd1f9,5,5001,9999837504,4
6319213fbdd32a2b9c5bd1fc,5,5001,9999826671,4
6319213fbdd32a2b9c5bd1fe,5,5001,9999783339,4
6319213fbdd32a2b9c5bd201,5,5001,9999740007,4
6319213fbdd32a2b9c5bd20d,5,5001,9999729174,5
6319213fbdd32a2b9c5bd210,5,5001,9999718341,5
6319213fbdd32a2b9c5bd212,5,5001,9999675009,5
6319213fbdd32a2b9c5bd215,5,5001,9999631677,5
6319213fbdd32a2b9c5bd221,5,5001,9999620844,6
6319213fbdd32a2b9c5bd224,5,5001,9999610011,6
6319213fbdd32a2b9c5bd226,5,5001,9999566679,6
6319213fbdd32a2b9c5bd229,5,5001,9999523347,6
6319213fbdd32a2b9c5bd235,5,5001,9999512514,7
6319213fbdd32a2b9c5bd238,5,5001,9999501681,7
6319213fbdd32a2b9c5bd23a,5,5001,9999458349,7
6319213fbdd32a2b9c5bd23d,5,5001,9999415017,7
6319213fbdd32a2b9c5bd249,5,5001,9999404184,8
6319213fbdd32a2b9c5bd24c,5,5001,9999393351,8
6319213fbdd32a2b9c5bd24e,5,5001,9999350019,8
6319213fbdd32a2b9c5bd251,5,5001,9999306687,8
6319213fbdd32a2b9c5bd25d,5,5001,9999295854,9
6319213fbdd32a2b9c5bd260,5,5001,9999285021,9
6319213fbdd32a2b9c5bd262,5,5001,9999241689,9
6319213fbdd32a2b9c5bd265,5,5001,9999198357,9
6319213fbdd32a2b9c5bd271,5,5001,9999186056,10
6319213fbdd32a2b9c5bd274,5,5001,9999173755,10
6319213fbdd32a2b9c5bd276,5,5001,9999124551,10
6319213fbdd32a2b9c5bd279,5,5001,9999075347,10
6319213fbdd32a2b9c5bd27c,0,1001,10833,11
6319213fbdd32a2b9c5bd27d,0,1001,10833,11
6319213fbdd32a2b9c5bd288,5,5001,9999063046,11
6319213fbdd32a2b9c5bd28b,5,5001,9999050745,11
6319213fbdd32a2b9c5bd28d,5,5001,9999001541,11
6319213fbdd32a2b9c5bd290,5,5001,9998952337,11
6319213fbdd32a2b9c5bd294,1,2001,10833,12
6319213fbdd32a2b9c5bd295,1,2001,10833,12
6319213fbdd32a2b9c5bd29c,2,3001,10833,12
6319213fbdd32a2b9c5bd29d,2,3001,10833,12
6319213fbdd32a2b9c5bd2a0,3,4001,10833,12
6319213fbdd32a2b9c5bd2a1,3,4001,10833,12
6319213fbdd32a2b9c5bd2a4,4,5001,43332,12
6319213fbdd32a2b9c5bd2a5,4,5001,43332,12
6319213fbdd32a2b9c5bd2a8,5,5001,9998940036,12
6319213fbdd32a2b9c5bd2ab,5,5001,9998927735,12
6319213fbdd32a2b9c5bd2ad,5,5001,9998878531,12
6319213fbdd32a2b9c5bd2b0,5,5001,9998829327,12
6319213fbdd32a2b9c5bd2bb,4,5001,54165,13
6319213fbdd32a2b9c5bd2bc,4,5001,54165,13
6319213fbdd32a2b9c5bd2bf,5,5001,9998817026,13
6319213fbdd32a2b9c5bd2c2,5,5001,9998804725,13
6319213fbdd32a2b9c5bd2c4,5,5001,9998755521,13
63192140bdd32a2b9c5bd2c7,5,5001,9998706317,13
63192140bdd32a2b9c5bd2d2,4,5001,64998,14
63192140bdd32a2b9c5bd2d3,4,5001,64998,14
63192140bdd32a2b9c5bd2d6,5,5001,9998694016,14
63192140bdd32a2b9c5bd2d9,5,5001,9998681715,14
63192140bdd32a2b9c5bd2db,5,5001,9998632511,14
63192140bdd32a2b9c5bd2de,5,5001,9998583307,14
63192140bdd32a2b9c5bd2e9,4,5001,75831,15
63192140bdd32a2b9c5bd2ea,4,5001,75831,15
63192140bdd32a2b9c5bd2ed,5,5001,9998571006,15
63192140bdd32a2b9c5bd2f0,5,5001,9998558705,15
63192140bdd32a2b9c5bd2f2,5,5001,9998509501,15
63192140bdd32a2b9c5bd2f5,5,5001,9998460297,15
63192140bdd32a2b9c5bd300,4,5001,86664,16
63192140bdd32a2b9c5bd301,4,5001,86664,16
63192140bdd32a2b9c5bd304,5,5001,9998447996,16
63192140bdd32a2b9c5bd307,5,5001,9998435695,16
63192140bdd32a2b9c5bd309,5,5001,9998386491,16
63192140bdd32a2b9c5bd30c,5,5001,9998337287,16
63192140bdd32a2b9c5bd317,4,5001,97497,17
63192140bdd32a2b9c5bd318,4,5001,97497,17
63192140bdd32a2b9c5bd31b,5,5001,9998324986,17
63192140bdd32a2b9c5bd31e,5,5001,9998312685,17
63192140bdd32a2b9c5bd320,5,5001,9998263481,17
63192140bdd32a2b9c5bd323,5,5001,9998214277,17
63192140bdd32a2b9c5bd32e,4,5001,108330,18
63192140bdd32a2b9c5bd32f,4,5001,108330,18
63192140bdd32a2b9c5bd332,5,5001,9998201976,18
63192140bdd32a2b9c5bd335,5,5001,9998189675,18
63192140bdd32a2b9c5bd337,5,5001,9998140471,18
63192140bdd32a2b9c5bd33a,5,5001,9998091267,18
63192140bdd32a2b9c5bd345,4,5001,119163,19
63192140bdd32a2b9c5bd346,4,5001,119163,19
63192140bdd32a2b9c5bd349,5,5001,9998078966,19
63192140bdd32a2b9c5bd34c,5,5001,9998066665,19
