_id,actor_id,product,quantity,last_update
631677a48074c96885f511e4,1,1001,13648,1
631677a48074c96885f511e5,2,2001,13648,1
631677a48074c96885f511e6,3,3001,13648,1
631677a48074c96885f511e7,4,4001,13648,1
631677a48074c96885f511e8,5,5001,9999999999,1
631677a48074c96885f511e9,0,0,0,1
631677a48074c96885f511eb,1,1001,2815,1
631677a48074c96885f511f5,2,2001,2815,2
631677a48074c96885f511f9,3,3001,2815,2
631677a48074c96885f511fd,4,4001,2815,2
631677a48074c96885f51201,5,5001,9999989166,2
631677a48074c96885f51204,5,5001,9999978333,2
631677a48074c96885f51206,5,5001,9999967500,2
631677a48074c96885f51209,5,5001,9999956667,2
631677a48074c96885f51215,5,5001,9999945834,3
631677a48074c96885f51218,5,5001,9999935001,3
631677a48074c96885f5121a,5,5001,9999891669,3
631677a48074c96885f5121d,5,5001,9999848337,3
631677a48074c96885f51229,5,5001,9999837504,4
631677a58074c96885f5122c,5,5001,9999826671,4
631677a58074c96885f5122e,5,5001,9999783339,4
631677a58074c96885f51231,5,5001,9999740007,4
631677a58074c96885f5123d,5,5001,9999729174,5
631677a58074c96885f51240,5,5001,9999718341,5
631677a58074c96885f51242,5,5001,9999675009,5
631677a58074c96885f51245,5,5001,9999631677,5
631677a58074c96885f51251,5,5001,9999620844,6
631677a58074c96885f51254,5,5001,9999610011,6
631677a58074c96885f51256,5,5001,9999566679,6
631677a58074c96885f51259,5,5001,9999523347,6
631677a58074c96885f5125c,0,1001,10833,7
631677a58074c96885f5125d,0,1001,10833,7
631677a58074c96885f51268,5,5001,9999512514,7
631677a58074c96885f5126b,5,5001,9999501681,7
631677a58074c96885f5126d,5,5001,9999458349,7
631677a58074c96885f51270,5,5001,9999415017,7
631677a58074c96885f5127c,5,5001,9999404184,8
631677a58074c96885f5127f,5,5001,9999393351,8
631677a58074c96885f51281,5,5001,9999350019,8
631677a58074c96885f51284,5,5001,9999306687,8
631677a58074c96885f5128d,2,3001,10833,9
631677a58074c96885f5128e,2,3001,10833,9
631677a58074c96885f51291,3,4001,10833,9
631677a58074c96885f51292,3,4001,10833,9
631677a58074c96885f51295,4,5001,10833,9
631677a58074c96885f51296,4,5001,10833,9
631677a58074c96885f51299,5,5001,9999295854,9
631677a58074c96885f5129c,5,5001,9999285021,9
631677a58074c96885f5129e,5,5001,9999241689,9
631677a58074c96885f512a1,5,5001,9999198357,9
631677a58074c96885f512ac,4,5001,21666,10
631677a58074c96885f512ad,4,5001,21666,10
631677a58074c96885f512b0,5,5001,9999186056,10
631677a58074c96885f512b3,5,5001,9999173755,10
631677a58074c96885f512b5,5,5001,9999124551,10
631677a58074c96885f512b8,5,5001,9999075347,10
631677a58074c96885f512bc,1,2001,10833,11
631677a58074c96885f512bd,1,2001,10833,11
631677a68074c96885f512c6,4,5001,32499,11
631677a68074c96885f512c7,4,5001,32499,11
631677a68074c96885f512ca,5,5001,9999063046,11
631677a68074c96885f512cd,5,5001,9999050745,11
631677a68074c96885f512cf,5,5001,9999001541,11
631677a68074c96885f512d2,5,5001,9998952337,11
631677a68074c96885f512dd,4,5001,43332,12
631677a68074c96885f512de,4,5001,43332,12
631677a68074c96885f512e1,5,5001,9998940036,12
631677a68074c96885f512e4,5,5001,9998927735,12
631677a68074c96885f512e6,5,5001,9998878531,12
631677a68074c96885f512e9,5,5001,9998829327,12
631677a68074c96885f512f4,4,5001,86664,13
631677a68074c96885f512f5,4,5001,86664,13
631677a68074c96885f512f8,5,5001,9998817026,13
631677a68074c96885f512fb,5,5001,9998804725,13
631677a68074c96885f512fd,5,5001,9998755521,13
631677a68074c96885f51300,5,5001,9998706317,13
631677a68074c96885f5130b,4,5001,97497,14
631677a68074c96885f5130c,4,5001,97497,14
631677a68074c96885f5130f,5,5001,9998694016,14
631677a68074c96885f51312,5,5001,9998681715,14
631677a68074c96885f51314,5,5001,9998632511,14
631677a68074c96885f51317,5,5001,9998583307,14
631677a68074c96885f51322,4,5001,108330,15
631677a68074c96885f51323,4,5001,108330,15
631677a68074c96885f51326,5,5001,9998571006,15
631677a68074c96885f51329,5,5001,9998558705,15
631677a68074c96885f5132b,5,5001,9998509501,15
631677a68074c96885f5132e,5,5001,9998460297,15
631677a68074c96885f51339,4,5001,119163,16
