_id,actor_id,product,quantity,last_update
6314df8912997615e513cc9b,1,1001,13648,1
6314df8912997615e513cc9c,2,2001,13648,1
6314df8912997615e513cc9d,3,3001,13648,1
6314df8912997615e513cc9e,4,4001,13648,1
6314df8912997615e513cc9f,5,5001,9999999999,1
6314df8912997615e513cca0,0,0,0,1
6314df8912997615e513cca2,1,1001,10189,1
6314df8912997615e513cca7,1,1001,6730,2
6314df8912997615e513ccac,1,1001,3271,3
6314df8912997615e513ccb2,2,2001,10189,4
6314df8912997615e513ccb8,2,2001,6730,5
6314df8912997615e513ccbe,2,2001,3271,6
6314df8912997615e513ccc2,0,1001,3459,7
6314df8912997615e513ccc3,0,1001,3459,7
6314df8912997615e513ccc8,3,3001,10190,7
6314df8912997615e513cccf,3,3001,6732,8
6314df8a12997615e513ccd4,1,2001,3459,9
6314df8a12997615e513ccd5,1,2001,3459,9
6314df8a12997615e513ccda,4,4001,3080,9
6314df8a12997615e513cce3,5,5001,9999989431,10
6314df8a12997615e513cce6,5,5001,9999978863,10
6314df8a12997615e513ccee,5,5001,9999968295,11
6314df8a12997615e513ccf1,5,5001,9999957727,11
6314df8a12997615e513ccf4,0,1001,6918,12
6314df8a12997615e513ccf5,0,1001,6918,12
6314df8a12997615e513ccfc,5,5001,9999947159,12
6314df8a12997615e513ccff,5,5001,9999936591,12
6314df8a12997615e513cd02,0,1001,10377,13
6314df8a12997615e513cd03,0,1001,10377,13
6314df8a12997615e513cd0a,5,5001,9999926023,13
6314df8a12997615e513cd0d,5,5001,9999915455,13
6314df8a12997615e513cd15,5,5001,9999904887,14
6314df8a12997615e513cd18,5,5001,9999894319,14
6314df8a12997615e513cd20,5,5001,9999883751,15
6314df8a12997615e513cd23,5,5001,9999873183,15
6314df8a12997615e513cd2a,4,5001,10568,16
6314df8a12997615e513cd2b,4,5001,10568,16
6314df8a12997615e513cd2e,5,5001,9999833991,16
6314df8a12997615e513cd31,5,5001,9999794799,16
6314df8b12997615e513cd38,4,5001,21136,17
6314df8b12997615e513cd39,4,5001,21136,17
6314df8b12997615e513cd3c,5,5001,9999700602,17
6314df8b12997615e513cd3f,5,5001,9999606405,17
6314df8b12997615e513cd46,4,5001,31704,18
6314df8b12997615e513cd47,4,5001,31704,18
6314df8b12997615e513cd4a,5,5001,9999496815,18
6314df8b12997615e513cd4d,5,5001,9999387225,18
6314df8b12997615e513cd51,1,2001,6918,19
6314df8b12997615e513cd52,1,2001,6918,19
6314df8b12997615e513cd55,2,3001,3458,19
6314df8b12997615e513cd56,2,3001,3458,19
6314df8b12997615e513cd5a,4,5001,42272,19
6314df8b12997615e513cd5b,4,5001,42272,19
6314df8b12997615e513cd5e,5,5001,9998243971,19
6314df8b12997615e513cd61,5,5001,9997100717,19
6314df8b12997615e513cd69,5,5001,9995406082,20
6314df8b12997615e513cd6c,5,5001,9993711447,20
6314df8b12997615e513cd70,1,2001,10377,21
6314df8b12997615e513cd71,1,2001,10377,21
6314df8b12997615e513cd76,4,5001,52840,21
6314df8b12997615e513cd77,4,5001,52840,21
6314df8b12997615e513cd7a,5,5001,9991289087,21
6314df8b12997615e513cd7d,5,5001,9988866727,21
6314df8b12997615e513cd82,2,3001,6916,22
6314df8b12997615e513cd83,2,3001,6916,22
6314df8b12997615e513cd87,4,5001,63408,22
6314df8b12997615e513cd88,4,5001,63408,22
6314df8b12997615e513cd8b,5,5001,9985275858,22
6314df8b12997615e513cd8e,5,5001,9981684989,22
6314df8c12997615e513cd95,4,5001,73976,23
6314df8c12997615e513cd96,4,5001,73976,23
6314df8c12997615e513cd99,5,5001,9976983258,23
6314df8c12997615e513cd9c,5,5001,9972281527,23
6314df8c12997615e513cda3,4,5001,84544,24
6314df8c12997615e513cda4,4,5001,84544,24
6314df8c12997615e513cda7,5,5001,9966864197,24
6314df8c12997615e513cdaa,5,5001,9961446867,24
6314df8c12997615e513cdb0,3,4001,10568,25
6314df8c12997615e513cdb1,3,4001,10568,25
6314df8c12997615e513cdb4,4,5001,95112,25
6314df8c12997615e513cdb5,4,5001,95112,25
6314df8c12997615e513cdb8,5,5001,9935112992,25
6314df8c12997615e513cdbb,5,5001,9908779117,25
6314df8c12997615e513cdc2,4,5001,105680,26
6314df8c12997615e513cdc3,4,5001,105680,26
6314df8c12997615e513cdc6,5,5001,9871102241,26
6314df8c12997615e513cdc9,5,5001,9833425365,26
6314df8c12997615e513cdd0,4,5001,116248,27
6314df8c12997615e513cdd1,4,5001,116248,27
6314df8c12997615e513cdd4,5,5001,9785859744,27
6314df8c12997615e513cdd7,5,5001,9738294123,27
6314df8c12997615e513cdde,4,5001,126816,28
6314df8c12997615e513cddf,4,5001,126816,28
6314df8c12997615e513cde2,5,5001,9681807176,28
6314df8c12997615e513cde5,5,5001,9625320229,28
6314df8c12997615e513cdec,4,5001,166008,29
6314df8c12997615e513cded,4,5001,166008,29
6314df8c12997615e513cdf0,5,5001,9561040963,29
6314df8c12997615e513cdf3,5,5001,9496761697,29
6314df8c12997615e513cdfa,4,5001,205200,30
6314df8c12997615e513cdfb,4,5001,205200,30
6314df8c12997615e513cdfe,5,5001,9422293860,30
6314df8c12997615e513ce01,5,5001,9347826023,30
6314df8d12997615e513ce08,4,5001,299397,31
6314df8d12997615e513ce09,4,5001,299397,31
6314df8d12997615e513ce0c,5,5001,9264091401,31
6314df8d12997615e513ce0f,5,5001,9180356779,31
6314df8d12997615e513ce16,4,5001,393594,32
6314df8d12997615e513ce17,4,5001,393594,32
6314df8d12997615e513ce1a,5,5001,9089951527,32
6314df8d12997615e513ce1d,5,5001,8999546275,32
6314df8d12997615e513ce24,4,5001,503184,33
6314df8d12997615e513ce25,4,5001,503184,33
6314df8d12997615e513ce28,5,5001,8902801158,33
6314df8d12997615e513ce2b,5,5001,8806056041,33
6314df8d12997615e513ce32,4,5001,612774,34
6314df8d12997615e513ce33,4,5001,612774,34
6314df8d12997615e513ce36,5,5001,8702456806,34
6314df8d12997615e513ce39,5,5001,8598857571,34
6314df8d12997615e513ce41,5,5001,8488467751,35
6314df8d12997615e513ce44,5,5001,8378077931,35
6314df8d12997615e513ce4c,5,5001,8261112863,36
6314df8d12997615e513ce4f,5,5001,8144147795,36
6314df8d12997615e513ce57,5,5001,8020814207,37
6314df8d12997615e513ce5a,5,5001,7897480619,37
6314df8d12997615e513ce62,5,5001,7767973050,38
6314df8d12997615e513ce65,5,5001,7638465481,38
6314df8d12997615e513ce6d,5,5001,7502969340,39
6314df8d12997615e513ce70,5,5001,7367473199,39
6314df8d12997615e513ce78,5,5001,7226165223,40
6314df8d12997615e513ce7b,5,5001,7084857247,40
6314df8e12997615e513ce83,5,5001,6937906021,41
6314df8e12997615e513ce86,5,5001,6790954795,41
6314df8e12997615e513ce8e,5,5001,6638521483,42
6314df8e12997615e513ce91,5,5001,6486088171,42
6314df8e12997615e513ce99,5,5001,6328326683,43
6314df8e12997615e513ce9c,5,5001,6170565195,43
6314df8e12997615e513cea4,5,5001,6007622985,44
6314df8e12997615e513cea7,5,5001,5844680775,44
6314df8e12997615e513ceaf,5,5001,5676698939,45
6314df8e12997615e513ceb2,5,5001,5508717103,45
6314df8e12997615e513ceba,5,5001,5335830908,46
6314df8e12997615e513cebd,5,5001,5162944713,46
6314df8e12997615e513cec5,5,5001,4985281946,47
6314df8e12997615e513cec8,5,5001,4807619179,47
6314df8e12997615e513ced0,5,5001,4625303688,48
6314df8e12997615e513ced3,5,5001,4442988197,48
6314df8e12997615e513cedb,5,5001,4256138309,49
6314df8e12997615e513cede,5,5001,4069288421,49
6314df8e12997615e513cee6,5,5001,3878017727,50
6314df8e12997615e513cee9,5,5001,3686747033,50
6314df8e12997615e513cef1,5,5001,3491164524,51
6314df8e12997615e513cef4,5,5001,3295582015,51
6314df8f12997615e513cefc,5,5001,3095792447,52
6314df8f12997615e513ceff,5,5001,2896002879,52
6314df8f12997615e513cf07,5,5001,2692106831,53
6314df8f12997615e513cf0a,5,5001,2488210783,53
6314df8f12997615e513cf12,5,5001,2280304987,54
6314df8f12997615e513cf15,5,5001,2072399191,54
6314df8f12997615e513cf1d,5,5001,1860576683,55
6314df8f12997615e513cf20,5,5001,1648754175,55
6314df8f12997615e513cf28,5,5001,1433104576,56
6314df8f12997615e513cf2b,5,5001,1217454977,56
