_id,actor_id,order_time,product,quantity,client,status,close_time
4000001,4,9,4001,10568,3,1,9.0
4000002,4,10,4001,10568,3,0,
4000003,4,11,4001,10568,3,0,
4000004,4,12,4001,10568,3,0,
4000005,4,13,4001,10568,3,0,
4000006,4,14,4001,10568,3,0,
4000007,4,15,4001,10568,3,0,
4000008,4,16,4001,10568,3,0,
4000009,4,17,4001,11720,3,0,
4000010,4,18,4001,11978,3,0,
4000011,4,19,4001,362376,3,0,
4000012,4,20,4001,453704,3,0,
4000013,4,21,4001,543714,3,0,
4000014,4,22,4001,705461,3,0,
4000015,4,23,4001,774098,3,0,
4000016,4,24,4001,833811,3,0,
4000017,4,25,4001,7886680,3,0,
4000018,4,26,4001,8715536,3,0,
4000019,4,27,4001,9496684,3,0,
4000020,4,28,4001,10231605,3,0,
4000021,4,29,4001,10924998,3,0,
4000022,4,30,4001,11580464,3,0,
4000023,4,31,4001,12201272,3,0,
4000024,4,32,4001,12790099,3,0,
4000025,4,33,4001,13349466,3,0,
4000026,4,34,4001,13881652,3,0,
4000027,4,35,4001,14388575,3,0,
4000028,4,36,4001,14872203,3,0,
4000029,4,37,4001,15332218,3,0,
4000030,4,38,4001,15771633,3,0,
4000031,4,39,4001,16191494,3,0,
4000032,4,40,4001,16593062,3,0,
4000033,4,41,4001,16977528,3,0,
4000034,4,42,4001,17345870,3,0,
4000035,4,43,4001,17699227,3,0,
4000036,4,44,4001,18038340,3,0,
4000037,4,45,4001,18364153,3,0,
4000038,4,46,4001,18677368,3,0,
4000039,4,47,4001,18979965,3,0,
4000040,4,48,4001,19271339,3,0,
4000041,4,49,4001,19552501,3,0,
4000042,4,50,4001,19823963,3,0,
4000043,4,51,4001,20086276,3,0,
4000044,4,52,4001,20339862,3,0,
4000045,4,53,4001,20585255,3,0,
4000046,4,54,4001,20822852,3,0,
4000047,4,55,4001,21053043,3,0,
4000048,4,56,4001,21276157,3,0,
4000049,4,57,4001,21492398,3,0,
4000050,4,58,4001,21702230,3,0,
4000051,4,59,4001,21905889,3,0,
4000052,4,60,4001,22103719,3,0,
4000053,4,61,4001,22295909,3,0,
4000054,4,62,4001,22482767,3,0,
4000055,4,63,4001,22664520,3,0,
4000056,4,64,4001,22841337,3,0,
4000057,4,65,4001,23013411,3,0,
4000058,4,66,4001,23181014,3,0,
4000059,4,67,4001,23343411,3,0,
4000060,4,68,4001,23501853,3,0,
4000061,4,69,4001,23656156,3,0,
4000062,4,70,4001,23806448,3,0,
4000063,4,71,4001,23952925,3,0,
4000064,4,72,4001,24095721,3,0,
4000065,4,73,4001,24234912,3,0,
4000066,4,74,4001,24370696,3,0,
4000067,4,75,4001,24503171,3,0,
4000068,4,76,4001,24632439,3,0,
4000069,4,77,4001,24758617,3,0,
4000070,4,78,4001,24881811,3,0,
4000071,4,79,4001,25002079,3,0,
4000072,4,80,4001,25119603,3,0,
4000073,4,81,4001,25234418,3,0,
4000074,4,82,4001,25346653,3,0,
4000075,4,83,4001,25456378,3,0,
4000076,4,84,4001,25563637,3,0,
4000077,4,85,4001,25668567,3,0,
4000078,4,86,4001,25771193,3,0,
4000079,4,87,4001,25871883,3,0,
4000080,4,88,4001,25970312,3,0,
4000081,4,89,4001,26066738,3,0,
4000082,4,90,4001,26161161,3,0,
4000083,4,91,4001,26253953,3,0,
4000084,4,92,4001,26345024,3,0,
4000085,4,93,4001,26434369,3,0,
4000086,4,94,4001,26535998,3,0,
4000087,4,95,4001,26638928,3,0,
4000088,4,96,4001,26743071,3,0,
4000089,4,97,4001,26954022,3,0,
4000090,4,98,4001,27159319,3,0,
4000091,4,99,4001,27358150,3,0,
4000092,4,100,4001,27549729,3,0,
4000093,4,101,4001,27732990,3,0,
4000094,4,102,4001,27906670,3,0,
4000095,4,103,4001,28069211,3,0,
4000096,4,104,4001,28218734,3,0,
4000097,4,105,4001,28352688,3,0,
4000098,4,106,4001,28467815,3,0,
4000099,4,107,4001,28560897,3,0,
4000100,4,108,4001,28623420,3,0,
4000101,4,109,4001,28731311,3,0,
4000102,4,110,4001,28839711,3,0,
4000103,4,111,4001,28947944,3,0,
4000104,4,112,4001,29070208,3,0,
4000105,4,113,4001,29193205,3,0,
4000106,4,114,4001,29316209,3,0,
4000107,4,115,4001,29438854,3,0,
