_id,simulation_id,active_actors,value,data,stats
20220904_172529,20220904_172529,,,,
active_actors,,"[1, 2, 3, 4, 5, 0]",,,
cookbook,,,"{1001: {'2001': 1}, 2001: {'3001': 1}, 3001: {'4001': 1}, 4001: {'5001': 1}}",,
