1,1,1001,10833,0,1000001,0
1,2,1001,10833,0,1000002,0
2,2,2001,10833,1,2000001,0
3,2,3001,10833,2,3000001,0
4,2,4001,10833,3,4000001,0
5,2,5001,10833,4,5000001,0
2,2,2001,10833,1,2000002,0
3,2,3001,10833,2,3000002,0
4,2,4001,10833,3,4000002,0
5,2,5001,10833,4,5000002,0
1,3,1001,10833,0,1000003,0
2,3,2001,10833,1,2000003,0
3,3,3001,10833,2,3000003,0
4,3,4001,10833,3,4000003,0
5,3,5001,10833,4,5000003,0
2,3,2001,10833,1,2000004,0
3,3,3001,21666,2,3000004,0
4,3,4001,32499,3,4000004,0
5,3,5001,43332,4,5000004,0
1,4,1001,10833,0,1000004,0
2,4,2001,10833,1,2000005,0
3,4,3001,10833,2,3000005,0
4,4,4001,10833,3,4000005,0
5,4,5001,10833,4,5000005,0
2,4,2001,10833,1,2000006,0
3,4,3001,21666,2,3000006,0
4,4,4001,32499,3,4000006,0
5,4,5001,43332,4,5000006,0
1,5,1001,10833,0,1000005,0
2,5,2001,10833,1,2000007,0
3,5,3001,10833,2,3000007,0
4,5,4001,10833,3,4000007,0
5,5,5001,10833,4,5000007,0
2,5,2001,10833,1,2000008,0
3,5,3001,21666,2,3000008,0
4,5,4001,32499,3,4000008,0
5,5,5001,43332,4,5000008,0
1,6,1001,10833,0,1000006,0
2,6,2001,10833,1,2000009,0
3,6,3001,10833,2,3000009,0
4,6,4001,10833,3,4000009,0
5,6,5001,10833,4,5000009,0
2,6,2001,10833,1,2000010,0
3,6,3001,21666,2,3000010,0
4,6,4001,32499,3,4000010,0
5,6,5001,43332,4,5000010,0
1,7,1001,10833,0,1000007,0
2,7,2001,10833,1,2000011,0
3,7,3001,10833,2,3000011,0
4,7,4001,10833,3,4000011,0
5,7,5001,10833,4,5000011,0
2,7,2001,10833,1,2000012,0
3,7,3001,21666,2,3000012,0
4,7,4001,32499,3,4000012,0
5,7,5001,43332,4,5000012,0
1,8,1001,10833,0,1000008,0
2,8,2001,10833,1,2000013,0
3,8,3001,10833,2,3000013,0
4,8,4001,10833,3,4000013,0
5,8,5001,10833,4,5000013,0
2,8,2001,10833,1,2000014,0
3,8,3001,21666,2,3000014,0
4,8,4001,32499,3,4000014,0
5,8,5001,43332,4,5000014,0
1,9,1001,10833,0,1000009,0
