value
10090
10305
10368
10388
10284
10229
10256
10308
10276
10225
10094
10093
10105
10089
10097
10027
10008
10019
9976
9848
9791
9710
9717
9748
9835
9767
9903
9934
9868
9801
9867
9778
9804
9919
9857
9857
10022
10068
9898
9813
9639
9714
9667
9725
9659
9640
9593
9543
9616
9613
9716
9620
9647
9663
9672
9715
9701
9603
9656
9715
9712
9647
9568
9555
9553
9564
9538
9673
9625
9564
9590
9594
9576
9537
9540
9573
9497
9461
9376
9376
9376
9302
9193
9163
9085
9085
9116
8913
8947
8984
8952
8978
9107
9079
9029
9147
9065
8922
8942
8875
9000
9111
9098
8981
9143
9262
9359
9303
9330
9355
9433
9485
9554
9668
9490
9527
9583
9636
9524
9565
9640
9538
9470
9405
9413
9327
9401
9415
9504
9556
9493
9487
9537
9542
9483
9523
9527
9499
9349
9344
9352
9353
9216
9220
9363
9332
9410
9390
9389
9276
9243
9264
9142
9028
9031
9084
9047
8973
9031
9132
9011
9118
9072
9140
9127
9023
8972
8918
9012
9021
9007
8965
8909
8906
8902
9000
8886
8818
8676
8735
8609
8614
8654
8693
8615
8526
8541
8476
8524
8890
8770
8757
8861
8832
8765
8802
8763
8730
8786
8703
8695
8721
8720
8648
8627
8511
8496
8525
8411
8452
8377
8386
8307
8252
8324
8482
8417
8554
8646
8730
8667
8587
8559
8531
8673
8620
8583
8596
8569
8535
8488
8474
8429
8427
8436
8406
8561
8650
8684
8735
8908
8810
8828
8943
8895
8804
8782
8748
8839
8984
8966
8903
9059
9146
9240
9240
9240
9310
9285
9305
9305
9423
9530
9458
9545
9497
9401
9412
9523
9545
9428
9412
9396
9404
9400
9290
9407
9294
9146
9228
9193
9197
9293
9406
9407
9425
9322
9325
9220
9227
9288
9275
9178
9090
9113
9213
9070
9146
9056
9064
9105
9163
9248
9269
9363
9305
9279
9307
9312
9357
9272
9202
9182
9064
8947
8996
9020
8990
8889
8922
8935
8952
8860
8840
8832
8772
8845
9032
9020
8940
9018
8945
8840
8849
8849
8849
8791
8778
8827
8989
9002
8973
8947
9013
9023
8876
8876
8907
8903
8939
8919
8866
8827
8850
8773
8745
8768
8834
8815
8777
8754
8685
8585
8604
8591
8584
8552
